# fintech-algorithms	0.13.0
# topic_id	subpath	entry
D00-F10-A01	fintech-algorithms/foundations/financial-time-series-foundations/time-order-frequency-regularity-and-financial-calendars	timeOrderFrequencyRegularityAndFinancialCalendars
D00-F10-A02	fintech-algorithms/foundations/financial-time-series-foundations/levels-changes-differences-and-returns	levelsChangesDifferencesAndReturns
D00-F10-A03	fintech-algorithms/foundations/financial-time-series-foundations/lags-leads-and-temporal-dependence	lagsLeadsAndTemporalDependence
D00-F10-A04	fintech-algorithms/foundations/financial-time-series-foundations/rolling-and-expanding-windows	rollingAndExpandingWindows
D00-F10-A05	fintech-algorithms/foundations/financial-time-series-foundations/resampling-aggregation-and-time-alignment	resamplingAggregationAndTimeAlignment
D00-F10-A06	fintech-algorithms/foundations/financial-time-series-foundations/trend-seasonality-cycles-and-remainder	trendSeasonalityCyclesAndRemainder
D00-F10-A07	fintech-algorithms/foundations/financial-time-series-foundations/autocovariance-and-autocorrelation	autocovarianceAndAutocorrelation
D00-F10-A08	fintech-algorithms/foundations/financial-time-series-foundations/stationarity-and-differencing-intuition	stationarityAndDifferencingIntuition
D00-F10-A09	fintech-algorithms/foundations/financial-time-series-foundations/smoothing-baselines-and-naive-forecasts	smoothingBaselinesAndNaiveForecasts
D00-F10-A10	fintech-algorithms/foundations/financial-time-series-foundations/look-ahead-leakage-and-time-aware-data-splits	lookAheadLeakageAndTimeAwareDataSplits
D00-F11-A01	fintech-algorithms/foundations/financial-risk-and-performance-statistics/volatility-and-annualized-volatility	volatilityAndAnnualizedVolatility
D00-F11-A02	fintech-algorithms/foundations/financial-risk-and-performance-statistics/downside-deviation-and-target-shortfall	downsideDeviationAndTargetShortfall
D00-F11-A03	fintech-algorithms/foundations/financial-risk-and-performance-statistics/drawdown-and-maximum-drawdown	drawdownAndMaximumDrawdown
D00-F11-A04	fintech-algorithms/foundations/financial-risk-and-performance-statistics/loss-distributions-and-loss-quantiles	lossDistributionsAndLossQuantiles
D00-F11-A05	fintech-algorithms/foundations/financial-risk-and-performance-statistics/value-at-risk-intuition	valueAtRiskIntuition
D00-F11-A06	fintech-algorithms/foundations/financial-risk-and-performance-statistics/expected-shortfall-intuition	expectedShortfallIntuition
D00-F11-A07	fintech-algorithms/foundations/financial-risk-and-performance-statistics/beta-and-market-relative-risk	betaAndMarketRelativeRisk
D00-F11-A08	fintech-algorithms/foundations/financial-risk-and-performance-statistics/sharpe-sortino-and-information-ratio-intuition	sharpeSortinoAndInformationRatioIntuition
